Feature,Importance
NY.ADJ.NNTY.KD.ZG,0.00024110604
IC.TAX.PAYM,0.00023975022
EN.GHG.N2O.IP.MT.CE.AR5,0.00023545335
PX.REX.REER,0.00023455094
NV.MNF.OTHR.ZS.UN,0.0002339317
EN.ATM.PM25.MC.M3,0.00023381534
IQ.CPA.PRES.XQ,0.00023374375
NY.GNS.ICTR.CD,0.00023339878
EN.FSH.THRD.NO,0.00023190059
NY.ADJ.SVNX.GN.ZS,0.00023058866
GC.XPN.INTP.ZS,0.00023057229
SI.SPR.PC40,0.0002297031
SE.PRM.NINT.FE.ZS,0.0002256458
TX.VAL.AGRI.ZS.UN,0.00022561489
TM.VAL.MRCH.OR.ZS,0.00022497779
SP.POP.GROW,0.00022280758
NY.GSR.NFCY.CN,0.00022187138
NE.IMP.GNFS.KD,0.00021906862
SH.PRV.SMOK,0.00021793076
SL.TLF.ADVN.FE.ZS,0.00021733486
EG.ELC.RNEW.ZS,0.00021629642
GC.AST.TOTL.CN,0.00021528649
SL.MNF.0714.MA.ZS,0.00021492303
AG.PRD.FOOD.XD,0.00021417449
SP.DYN.AMRT.MA,0.00020925126
SI.SPR.PC40.ZG,0.0002092157
SH.SGR.CRSK.ZS,0.00020844115
SL.MNF.0714.ZS,0.00020811512
BN.KAC.EOMS.CD,0.00020779419
NY.GNP.MKTP.PP.CD,0.00020729472
SL.TLF.INTM.MA.ZS,0.00020625298
FP.WPI.TOTL,0.0002055645
NE.GDI.FTOT.ZS,0.00020485047
SH.IMM.MEAS,0.00020257922
CM.MKT.LDOM.NO,0.00020151769
SP.POP.3539.MA.5Y,0.00019958666
NE.GDI.TOTL.KD,0.00019854253
SL.WAG.0714.ZS,0.00019834068
SH.TBS.DTEC.ZS,0.00019689134
LP.EXP.DURS.MD,0.0001966088
DT.NFL.WFPG.CD,0.00019646325
SI.RMT.COST.OB.ZS,0.00019493776
NE.EXP.GNFS.CN,0.0001938142
EN.ATM.PM25.MC.T2.ZS,0.00019355192
SE.TER.CUAT.BA.FE.ZS,0.00019279089
SH.STA.OWGH.ZS,0.00019276151
GC.XPN.INTP.RV.ZS,0.00019228969
SL.WAG.0714.FE.ZS,0.00019111151
SL.FAM.0714.ZS,0.00019105853
DC.DAC.KORL.CD,0.00018806431
GC.XPN.COMP.ZS,0.00018649631
DT.TDS.MLAT.CD,0.00018550738
DT.NFL.MOTH.CD,0.0001838732
TX.VAL.MRCH.OR.ZS,0.0001828648
ST.INT.XPND.CD,0.00018251187
GC.AST.TOTL.GD.ZS,0.00018093096
BX.GSR.TRVL.ZS,0.00018092539
BM.TRF.PWKR.CD.DT,0.00017971541
per_lm_alllm.cov_q2_tot,0.00017865354
BX.KLT.DINV.WD.GD.ZS,0.00017759706
SP.POP.TECH.RD.P6,0.00017715064
SH.ANM.CHLD.ZS,0.00017707328
SE.TER.CUAT.ST.FE.ZS,0.00017616
TM.TAX.MANF.WM.AR.ZS,0.00017607509
SH.STA.BFED.ZS,0.00017582216
NY.GDP.DISC.KN,0.00017537124
EN.GHG.CO2.RT.GDP.PP.KD,0.00017204617
SH.STA.ODFC.ZS,0.0001715497
EN.GHG.CH4.IC.MT.CE.AR5,0.00017069191
SL.FAM.0714.MA.ZS,0.00016843805
IS.SHP.GCNW.XQ,0.00016807194
per_lm_alllm.cov_q3_tot,0.00016777478
LP.LPI.TIME.XQ,0.00016722686
SN.ITK.DEFC.ZS,0.00016708787
SI.POV.UMIC.GP,0.00016529804
TM.TAX.TCOM.IP.ZS,0.00016456912
NY.TTF.GNFS.KN,0.00016423373
BX.TRF.PWKR.CD,0.00016372114
BM.GSR.TRAN.ZS,0.00016338653
EG.IMP.CONS.ZS,0.00016168108
TX.VAL.TRVL.ZS.WT,0.00016118327
SH.XPD.EHEX.PP.CD,0.00016088223
IC.FRM.FEMM.ZS,0.00016049748
SH.TBS.CURE.ZS,0.00016034117
SH.HIV.INCD.YG,0.0001599639
SH.DTH.NCOM.ZS,0.00015943851
GE.STD.ERR,0.00015932904
DC.DAC.LUXL.CD,0.00015876758
BX.KLT.DINV.CD.WD,0.0001583047
FI.RES.TOTL.DT.ZS,0.00015822149
SM.POP.REFG,0.00015794675
GC.XPN.TRFT.ZS,0.00015713614
DC.DAC.CHEL.CD,0.00015704716
BM.GSR.GNFS.CD,0.00015421031
EN.GHG.N2O.PI.MT.CE.AR5,0.00015355492
SP.POP.2024.MA.5Y,0.00015311163
FB.AST.NPER.ZS,0.00015231958
BX.GSR.NFSV.CD,0.00015165766
SE.SEC.ENRL.GC.FE.ZS,0.00015104075
IC.TAX.DURS,0.00014872242
DC.DAC.HUNL.CD,0.00014759986
DT.NFL.UNCV.CD,0.0001475429
NV.AGR.TOTL.KN,0.00014717727
NY.ADJ.DRES.GN.ZS,0.00014692535
SL.TLF.0714.SW.MA.ZS,0.00014681256
SH.STA.DIAB.ZS,0.00014642563
NY.GDP.PCAP.KN,0.0001457779
SH.STA.STNT.ME.ZS,0.00014567339
MS.MIL.XPND.ZS,0.00014562088
SP.RUR.TOTL.ZG,0.00014540358
SP.POP.0004.MA.5Y,0.00014520095
SH.STA.ORTH,0.00014518114
RL.PER.RNK,0.00014447975
IC.TAX.OTHR.CP.ZS,0.00014423611
TM.TAX.MANF.WM.FN.ZS,0.0001438679
SL.UEM.INTM.ZS,0.00014314654
CM.MKT.TRAD.CD,0.00014265941
NY.TRF.NCTR.CD,0.0001420897
ER.LND.PTLD.ZS,0.00014173296
DT.NFL.MLAT.CD,0.00014163007
SE.PRM.OENR.FE.ZS,0.00014160822
GC.REV.SOCL.CN,0.00014029675
NY.GDP.NGAS.RT.ZS,0.00014014506
LP.LPI.ITRN.XQ,0.0001394494
SE.SEC.TCHR,0.00013895897
SP.DYN.TFRT.IN,0.00013863663
SE.SEC.CUAT.PO.FE.ZS,0.00013833967
DC.DAC.DNKL.CD,0.00013801386
RQ.PER.RNK,0.00013702233
DT.NFL.BLAT.CD,0.00013672642
NE.RSB.GNFS.KN,0.00013532766
SE.SEC.CUAT.PO.ZS,0.00013529167
SE.TER.ENRR,0.00013495676
PA.NUS.PRVT.PP,0.0001344782
SE.SEC.UNER.LO.MA.ZS,0.00013438246
IT.CEL.SETS,0.00013429117
AG.PRD.CREL.MT,0.00013393094
SL.EMP.1524.SP.FE.NE.ZS,0.00013386203
EN.GHG.CH4.IP.MT.CE.AR5,0.00013331237
DT.ODA.ALLD.CD,0.00013317479
NY.GNP.PCAP.KN,0.00013256808
per_sa_allsa.ben_q1_tot,0.0001322005
SE.SEC.CUAT.PO.MA.ZS,0.00013214284
SE.TER.CUAT.DO.FE.ZS,0.00013179936
TX.VAL.FOOD.ZS.UN,0.00013074612
IQ.CPA.FINQ.XQ,0.00012948936
SH.DYN.1014,0.00012899897
DT.DOD.DIMF.CD,0.00012869597
ST.INT.XPND.MP.ZS,0.00012823538
EN.GHG.CO2.WA.MT.CE.AR5,0.00012733827
SL.TLF.0714.SW.ZS,0.00012673852
VA.STD.ERR,0.00012653429
IS.AIR.PSGR,0.0001264719
TM.TAX.MRCH.SM.AR.ZS,0.00012551785
SH.UHC.OOPC.25.ZS,0.00012534832
DT.DOD.DSTC.CD,0.00012505807
FX.OWN.TOTL.40.ZS,0.0001247518
IQ.CPA.MACR.XQ,0.00012416838
BX.TRF.CURR.CD,0.00012360429
SL.UEM.NEET.MA.ME.ZS,0.00012268966
IE.PPI.TRAN.CD,0.00012251153
IQ.SPI.PIL3,0.00012234846
SH.H2O.SMDW.ZS,0.00012233804
EN.POP.EL5M.UR.ZS,0.00012230789
CM.MKT.LCAP.CD,0.00012215762
TX.VAL.SERV.CD.WT,0.00012189628
FX.OWN.TOTL.60.ZS,0.00012011201
SE.SEC.TCAQ.UP.ZS,0.0001194764
BM.GSR.FCTY.CD,0.00011905408
SE.PRE.TCAQ.FE.ZS,0.000118404
SE.PRM.TCAQ.FE.ZS,0.00011816896
DT.DOD.DECT.GN.ZS,0.00011784893
CM.MKT.TRAD.GD.ZS,0.000117523865
SE.XPD.SECO.PC.ZS,0.000115664625
TM.VAL.TRAN.ZS.WT,0.000115149705
DC.DAC.NORL.CD,0.00011507026
DC.DAC.FRAL.CD,0.00011383332
SI.SPR.PCAP.ZG,0.00011286196
AG.LND.TOTL.UR.K2,0.00011237974
LP.LPI.TRAC.XQ,0.00011101412
SL.TLF.PART.ZS,0.00011090074
IT.NET.BBND,0.000110144276
DT.NFL.UNCF.CD,0.00010951975
SH.STA.WASH.P5,0.00010891807
DT.NFL.PCBO.CD,0.000108900946
SH.STA.STNT.ZS,0.00010751401
NY.GDP.MKTP.CN.AD,0.0001069886
NE.CON.GOVT.KD.ZG,0.00010692597
SE.PRE.DURS,0.000105510415
SH.HIV.0014,0.00010523139
NE.CON.PRVT.CN,0.00010510115
SL.TLF.CACT.NE.ZS,0.00010503925
TX.VAL.MRCH.R5.ZS,0.00010495889
FS.AST.DOMS.GD.ZS,0.000104022816
SP.POP.6064.FE.5Y,0.00010319091
TX.VAL.MMTL.ZS.UN,0.00010283354
SE.ADT.1524.LT.FM.ZS,0.00010279289
IE.PPN.ICTI.CD,0.00010258265
SH.STA.SUIC.P5,0.00010255349
DC.DAC.POLL.CD,0.000102211634
DC.DAC.CZEL.CD,0.00010178088
IP.IDS.RSCT,0.000101744205
SL.UEM.INTM.MA.ZS,0.000101252015
SH.UHC.TOT2.ZS,0.00010106098
EN.GHG.N2O.MT.CE.AR5,0.000100139856
NE.IMP.GNFS.CN,0.000100068726
SE.TER.CUAT.ST.ZS,9.997128e-05
TM.TAX.MANF.IP.ZS,9.9860896e-05
AG.CON.FERT.PT.ZS,9.930176e-05
TX.VAL.MRCH.AL.ZS,9.9170815e-05
SL.TLF.ACTI.ZS,9.9090495e-05
ER.FSH.AQUA.MT,9.777167e-05
TM.VAL.MRCH.R1.ZS,9.754018e-05
